relative_time,DecibelSource,PitchSensor
0,25.658478186735177,0.0
17,25.658478186735177,0.0
77,25.14547752660286,0.0
152,18.260748027008265,0.0
212,16.989700043360187,0.0
277,17.781512503836435,0.0
350,59.1387846212237,0.0
410,54.257460992957306,
477,54.77192183692665,196.54079861111114
549,54.537004733597726,196.82573784722223
611,54.11394083565615,196.98040674603175
677,53.314151482534406,196.98040674603175
749,54.36547455501096,196.89513888888888
811,54.090382651515355,234.46744791666666
877,52.202545723151,234.3707837301587
949,54.02216660720335,234.3707837301587
1011,54.508062493884275,234.3355654761905
1077,57.945459022627716,295.1796875
1149,56.794678716702066,196.18055555555554
1211,55.744202213582874,197.00926959325398
1277,57.12152840490958,197.00926959325398
1349,54.26093031278279,196.67440476190475
1411,56.58266171640702,196.8381696428571
1477,57.570352323246155,196.2455357142857
1549,58.85660259997571,196.82924107142856
1611,58.189381330308194,196.82924107142856
1677,56.91305215555427,197.21498325892858
1749,60.94152366018126,197.21550807823132
1811,60.47304857985508,197.5
1877,59.38931809164204,197.5
1949,58.10532252524213,197.15547495039684
2011,59.95980299624232,197.0248015873016
2077,57.000032636680196,
2149,57.708306644395805,234.28385416666666
2211,58.31099642273078,234.28385416666666
2277,63.68342307385143,197.08705357142856
2349,58.72886090041381,274.41666666666663
2411,58.67310123359598,197.75468750000002
2477,56.969693859463916,197.75468750000002
2549,56.89851166461107,221.07421875
2611,58.07347605122697,220.73842592592595
2677,59.97558058441237,262.0435267857143
2749,60.73871517505094,261.26060267857144
2811,59.02578303926943,261.26060267857144
2877,60.60279583367639,262.32852564102564
2949,63.034004086291155,218.06510416666669
3011,61.58800486354181,
3077,60.48615797249784,
3149,59.99550707181274,220.73474702380955
3211,60.528227878689975,220.43782552083334
3277,59.87395416642742,219.4681581439394
3349,59.85326309824255,220.27256944444446
3411,61.88221512509457,220.27256944444446
3477,59.2285048774807,220.5359375
3549,61.57336466711201,220.3265625
3611,61.138187253177634,262.1393973214286
3677,61.61868201023523,
3749,58.4341468259229,
3811,59.420745570279365,220.98853880494502
3877,58.8057637986494,220.9936755952381
3949,58.39168714537719,184.28255208333331
4011,56.51837002128897,184.28255208333331
4077,53.0086493239685,
4149,63.079179329283605,428.71744791666663
4211,57.17054399690515,379.734375
4277,58.25995066693082,442.84722222222223
4349,59.27716223489735,442.84722222222223
4411,57.07591464521357,442.05078125
4477,60.12436899028431,
4549,59.06886450351041,220.8608940972222
4611,58.585137378158116,220.8608940972222
4677,61.86098194285721,221.84244791666663
4749,60.662580731985926,221.73828125
4811,62.20461397206964,176.14453125
4877,58.77065388825976,
4963,55.45373925862449,221.60156250000003
5011,55.26284987186398,221.60156250000003
5077,54.04714012668899,222.23958333333331
5149,56.56432662097579,220.95263671875
5211,55.36651856337447,
5277,54.22304155433038,
5349,54.46659858125153,221.9921875
5411,54.85177508283391,
5477,53.68126901154091,221.1484375
5549,52.75921472398663,221.1484375
5611,50.62307408295206,
5677,52.34858814426101,220.81770833333334
5749,52.00910660665566,176.625
5811,51.20159179400983,218.857421875
5877,48.29554626069943,218.857421875
5949,48.30511682042363,257.1116071428571
6011,59.30049982280319,256.94419642857144
6077,52.373577157182105,
6149,51.15773549493738,
6211,54.321496083097315,197.31770833333334
6277,52.14941818068753,157.4155505952381
6348,52.26540620608709,197.33779761904762
6411,54.67781196994903,197.20225694444446
6477,53.655534985133436,197.20225694444446
6549,53.12295861181517,197.09157100340138
6611,56.241108200617504,197.00633680555552
6677,54.43630612732107,246.3671875
6748,55.7264742982213,246.3671875
6811,49.669485358450146,197.958984375
6877,49.21982838837776,158.11135912698415
6949,52.88043434843581,
7011,50.69327630507541,196.84920634920636
7077,56.75782006590958,196.84920634920636
7150,55.349115698763256,252.30803571428572
7211,50.964476776732724,
7277,55.23310653451132,314.69828869047615
7348,53.96690920369394,314.69828869047615
7410,59.42658758855258,314.3317522321429
7477,53.73140131669323,
7548,54.763518723822806,627.2591145833334
7610,52.884593893433475,313.7410094246032
7677,51.63557905202608,313.7410094246032
7749,54.092820387373905,430.70963541666663
7811,52.33889177828593,297.5859375
7877,62.76044083202897,
7949,60.41488614162005,351.375
8011,58.83645539116965,351.375
8077,56.841341158595455,
8150,55.84665864071509,195.84479166666668
8211,56.76183127997124,196.44940476190473
8277,59.30533375937021,196.44940476190473
8349,54.90572241926688,196.48490646258506
8411,54.790870483080376,234.0849888392857
8477,55.662465256401376,233.89769345238096
8549,55.76538293227145,196.30208333333334
8611,61.78244932799542,196.30208333333334
8677,57.52709762731123,234.27256944444443
8749,56.036866312932574,234.05929129464286
8811,57.91557323304201,234.29755140692643
8877,57.98270730569482,234.29755140692643
8948,59.569867652987014,234.05612244897958
9010,56.779188757884576,197.06803385416669
9077,56.719509121794005,234.0293898809524
9149,55.33825420724255,196.91579861111111
9211,55.514268187162436,196.91579861111111
9277,60.64894684822784,234.05133928571428
9349,56.87832058962527,234.20386904761904
9411,54.422868806717105,196.83423520923517
9477,56.68887954142188,196.83423520923517
9549,56.627701050478535,233.96354166666666
9611,54.73847394369729,198.1580171130952
9677,55.737207809775,196.26065228174602
9749,54.606558327385464,
9811,58.78721088636796,
9877,55.272444062420746,233.84453125
9964,52.34603324012363,196.75373263888886
10011,51.642755087839554,
10077,47.43760548325352,98.03632023358587
10149,49.84284220430386,98.03632023358587
10211,52.70913966813044,
10277,49.782261816745255,131.88621031746032
10349,50.20651268004342,
10411,48.00923181813218,
10477,49.975960534463994,221.19831526360545
10548,54.98830017663434,177.37413194444443
10610,49.72434276957365,262.49314081101187
10677,50.03585459972682,262.54960317460313
10749,51.027046264065675,262.54960317460313
10811,50.14264254610619,221.4563301282051
10877,56.24381116067194,220.87930689102566
10949,51.77328681426474,220.6929976851852
11011,49.71438214823972,220.6929976851852
11077,49.75017997632882,220.9065104166667
11148,51.07576251113702,220.675533234127
11211,57.02604564044198,262.0516493055556
11277,55.61785693229658,263.2831101190476
11348,54.61653068501089,263.2831101190476
11411,53.55167900481789,262.3078703703703
11477,52.12922352320419,221.625
11548,54.44122899412919,221.16201636904762
11610,52.132839453569,221.16201636904762
11677,56.75078692565448,235.8931671626984
11748,53.70548246229069,260.84375
11811,53.304888551569334,220.79613095238096
11878,50.48907701483771,220.81833964646466
11949,49.23518604928256,220.81833964646466
12011,58.548232426608664,220.84707754629628
12077,57.22175532930816,
12148,54.974908253509184,220.72879464285714
12210,52.41252535105694,175.10499043367346
12277,55.93872854295451,175.10499043367346
12348,57.02003787623753,175.6109375
12411,60.97886944568777,221.46138392857142
12477,59.40727106518554,220.6684027777778
12549,58.26506937516302,220.6684027777778
12611,58.19264844581342,220.836328125
12677,56.070731051234546,220.6571534863946
12748,60.967585046681776,
12811,59.39115220788647,175.67633928571428
12877,58.745774795121555,175.67633928571428
12948,57.92573074632243,175.09561011904762
13011,57.45042765088695,
13077,59.159983584844696,220.46571180555554
13148,57.08327402022012,220.46571180555554
13211,55.22435104096932,220.11328125
13277,57.102984950135216,220.8083333333333
13348,54.318347985631775,
13411,53.38713408369728,1664.375
13477,53.638262541705316,1664.375
13548,59.77119744913775,
13610,58.16379191460916,393.69791666666663
13677,58.0986395084684,
13748,57.59250721735935,
13810,58.13228606805041,393.3625
13877,57.94459464540875,
13948,61.593526998549635,196.71019345238096
14010,61.76002653943344,
14077,65.59002999147195,
14148,60.982940732075086,155.62858072916669
14210,61.162606345674384,
14277,65.93055009649683,155.76817602040816
14348,62.23958803219371,
14410,62.75944708999322,
14477,63.105775558457154,313.43526785714283
14548,63.329748357341266,467.19075520833337
14610,62.44467129465146,467.19075520833337
14677,60.75680148939093,
14748,59.763641953798164,156.48741319444443
14810,65.13924551354309,
14876,69.8885479166918,233.58984375
14963,70.36626220930187,196.63194444444446
15010,69.35082134417287,196.63194444444446
15077,69.17429199356272,156.6050347222222
15148,66.9824438728672,
15210,67.32406547194456,196.576171875
15277,65.4727935189324,196.576171875
15351,65.12415680089522,
15412,68.34781787347077,393.078125
15477,68.07442544615357,313.67578125
15547,66.73108402659277,
15610,67.29990702852906,
15676,67.41550005381386,197.89973958333334
15748,64.86896970811588,197.25945560515876
15810,71.58397053322537,
15876,69.14562312086811,157.66666666666666
15947,67.64324783663868,157.66666666666666
16009,69.1335887604517,234.97509765625
16078,67.97445516609861,197.19234664351856
16147,68.07822771201967,234.08680555555554
16209,68.48303496942572,234.08680555555554
16276,68.22454593033271,197.72274925595238
16347,71.8633774555081,
16409,67.21087865658384,197.51575520833333
16477,71.24173944177626,197.51575520833333
16547,67.95024274809707,234.01236979166663
16609,68.27829174802321,
16676,68.50507594097978,393.4505208333333
16747,66.81441328648506,
16809,69.88966752477847,
16876,68.07471570438577,234.17708333333331
16947,66.78675315814841,197.23400297619048
17009,66.90104425358837,
17076,67.80629488617102,
17147,67.36300867274552,197.27203525641028
17209,67.68019660815447,
17276,63.73555974139926,467.8359375
17347,65.27268267849843,
17409,64.68863302429739,
17476,64.81319632649769,332.55208333333337
17547,64.76677323710592,332.3070126488095
17609,64.58986051339267,416.78125
17676,65.90206529398276,
17747,67.63801700377228,
17809,64.28860981614426,262.39872685185185
17876,64.0774856141873,
17947,66.48389678624318,262.6875
18009,66.351126284239,
18076,66.16517733452224,
18146,65.09890931522085,442.26674107142856
18209,67.67012339593376,524.9576822916666
18276,64.80101988401245,443.11751302083337
18347,66.20560352271394,443.11751302083337
18409,65.5572643741766,263.9696180555556
18476,67.32826471442628,352.5651041666667
18546,67.20967331658971,
18609,63.378269081323566,
18675,70.70554462075988,442.80989583333337
18746,67.44460799643767,263.046875
18809,65.61774257192202,264.2161458333333
18876,66.9846410415852,
18947,65.16994412501747,
19009,67.14891463949877,350.64583333333337
19075,66.0259970102121,446.263671875
19146,70.3949989873749,397.52604166666663
19209,65.22274395071646,
19275,66.84635611372278,
19346,66.74760313951938,175.935546875
19409,65.46715976547092,176.042543579932
19475,68.86860000451873,
19546,65.96795286587297,
19608,65.3873292080621,175.86755952380952
19675,65.01508394536552,
19746,65.84023490107428,351.47098214285717
19808,63.290759549844566,176.06124084249083
19875,66.20666881958084,176.06124084249083
19962,64.9254919515798,
20008,64.08055860078642,350.40525793650795
20075,64.04667490231124,441.3671875
20146,65.39771542520813,441.3671875
20208,63.825530023400326,
20275,65.54046523507459,350.9082961309524
20346,63.8222909229441,176.45376275510202
20408,67.45353010223323,220.78703497023812
20475,64.69678159711557,220.78703497023812
20546,63.96951472543794,
20608,65.58691654313677,175.97451636904762
20675,64.79444440712871,
20746,65.62246933899003,442.28794642857144
20808,65.01492244779296,442.28794642857144
20875,64.79696642329156,
20946,64.77956467962247,441.3194444444445
21008,67.62870690906342,
21075,63.88298401831175,
21146,63.562792811188935,314.0708705357143
21208,64.12336709646767,390.2018229166667
21275,62.63641748696776,
21346,68.17120336814405,234.45833333333331
21408,64.41128691421133,234.45833333333331
21475,64.02682229131338,198.45930989583334
21546,67.0039103370009,
21608,62.94666352323659,234.88032670454547
21675,67.164340837119,234.88032670454547
21746,65.21178110206296,235.4203125
21808,63.976852636893184,312.438244047619
21875,64.7406700435316,313.57204861111114
21946,62.45194726864351,
22008,64.2492963494763,
22075,64.5504717886559,589.55078125
22145,65.4890375547882,
22208,65.03731729366139,196.7788825757576
22275,65.32923733551873,
22345,65.01287583546515,
22408,65.47833017502485,1177.2265625
22475,64.97353777042176,
22546,65.51462685042087,235.07734375
22608,63.91082671537701,235.07734375
22675,63.34794819843932,312.68960336538464
22746,64.67120267702458,
22808,65.62958431049525,234.97674851190476
22874,64.78616559214889,
22946,64.75407481360234,
23008,64.492456846008,328.5208333333333
23074,66.02783357470989,196.7599103009259
23145,63.25700548071816,
23208,65.0582071650707,
23274,69.55480124280663,197.05360243055554
23345,64.26604616510885,234.49166666666665
23407,64.71616136945295,235.33810763888889
23474,64.854245571437,236.59895833333331
23546,65.01447213894564,236.59895833333331
23608,64.42882049818026,234.95806464947094
23674,65.76043808422615,235.525390625
23746,64.25065764576468,235.14322916666666
23807,64.70231384759904,235.14322916666666
23874,65.80071849613365,235.28255208333334
23945,67.40254576193817,313.01264880952385
24008,65.98934008080137,234.587890625
24074,65.90699423454336,234.62276785714286
24146,64.71419926379832,234.62276785714286
24207,64.87904857975363,235.828125
24274,66.27827868067445,235.10416666666669
24345,64.81293968283674,313.02473958333337
24407,66.68176454232741,235.16953125
24474,65.64486984406221,235.16953125
24546,65.9061816790265,234.36755952380952
24607,62.42357534727428,233.71372767857144
24674,66.24924912126023,
24746,65.4650688206105,
24807,63.45512329749381,392.94270833333337
24874,67.23661933450322,
24961,64.79073357543109,526.8098958333333
25007,68.42998494980048,312.4830729166667
25074,68.09286999825014,312.4830729166667
25145,62.53107467556744,
25207,66.28971719694995,263.002025462963
25274,65.44504353107057,263.39626736111114
25345,66.37700621334137,263.39626736111114
25407,67.46145069898346,263.42013888888897
25474,65.84185643460043,176.26322751322752
25545,66.8481368570578,262.82421875
25607,65.21690803242659,264.5982142857143
25674,68.67398655273685,264.5982142857143
25746,69.0991893064848,
25807,67.28992090893571,263.3294270833333
25874,67.29357343638671,
25945,68.62091229079921,
26007,68.21958141436545,437.55208333333337
26073,66.66356306808288,
26146,65.8108145307939,527.6796875
26207,67.80454492957759,625.6640625
26274,68.34192368822525,625.6640625
26346,68.41798424150093,529.2122395833334
26407,63.514360485689764,
26474,70.81693309122417,176.14930555555557
